,community_name,False Negative,False Positive,True Negative,True Positive,Total Reported Crime,Accuracy,Recall,Precision,F1 Score,Most Common Crime,2nd Most Common Crime,3rd Most Common Crime,Community Arrest Pct,Mortgage/Foreclosure Ratio
0,ALBANY PARK,173.0,92.0,1814.0,122.0,2201.0,0.8796,0.4136,0.5701,0.4794,"('Theft', 617)","('Criminal Damage', 301)","('Domestic Battery', 202)",0.1340299863698319,0.9555006180469716
1,ARCHER HEIGHTS,59.0,75.0,618.0,48.0,800.0,0.8325,0.4486,0.3902,0.4174,"('Theft', 211)","('Criminal Damage', 97)","('Domestic Battery', 72)",0.13375,0.9176470588235294
2,ARMOUR SQUARE,97.0,74.0,782.0,64.0,1017.0,0.8319,0.3975,0.4638,0.4281,"('Theft', 315)","('Criminal Damage', 106)","('Simple Battery', 103)",0.1583087512291052,1.0
3,ASHBURN,211.0,115.0,1936.0,71.0,2333.0,0.8603,0.2518,0.3817,0.3034,"('Theft', 511)","('Criminal Damage', 300)","('Other Offense', 261)",0.12087441063009001,0.8
4,AUBURN GRESHAM,755.0,625.0,4961.0,1236.0,7577.0,0.8179,0.6208,0.6642,0.6418,"('Theft', 1223)","('Domestic Battery', 1108)","('Other Offense', 902)",0.26276890589943247,0.7149817295980512
5,AUSTIN,1227.0,1109.0,9981.0,2368.0,14685.0,0.8409,0.6587,0.681,0.6697,"('Theft', 2680)","('Domestic Battery', 2120)","('Other Offense', 1601)",0.24480762683009874,0.8194161575016972
6,AVALON PARK,111.0,114.0,862.0,208.0,1295.0,0.8263,0.652,0.646,0.649,"('Theft', 248)","('Other Offense', 184)","('Domestic Battery', 136)",0.24633204633204633,0.7184873949579832
7,AVONDALE,145.0,242.0,1554.0,174.0,2115.0,0.817,0.5455,0.4183,0.4735,"('Theft', 532)","('Criminal Damage', 256)","('Other Offense', 205)",0.1508274231678487,0.9761634506242906
8,BELMONT CRAGIN,444.0,190.0,3341.0,359.0,4334.0,0.8537,0.4471,0.6539,0.5311,"('Theft', 911)","('Other Offense', 554)","('Domestic Battery', 521)",0.18527918781725888,0.9183467741935484
9,BEVERLY,65.0,32.0,793.0,32.0,922.0,0.8948,0.3299,0.5,0.3975,"('Theft', 256)","('Deceptive Practice', 141)","('Criminal Damage', 102)",0.1052060737527115,0.9037138927097662
10,BRIDGEPORT,183.0,73.0,1101.0,83.0,1440.0,0.8222,0.312,0.5321,0.3934,"('Theft', 339)","('Criminal Damage', 228)","('Other Offense', 136)",0.18472222222222223,0.9642857142857143
11,BRIGHTON PARK,185.0,239.0,1580.0,208.0,2212.0,0.8083,0.5293,0.4653,0.4952,"('Theft', 389)","('Criminal Damage', 329)","('Domestic Battery', 268)",0.17766726943942135,0.8808864265927978
12,BURNSIDE,27.0,36.0,239.0,70.0,372.0,0.8306,0.7216,0.6604,0.6896,"('Other Offense', 61)","('Domestic Battery', 53)","('Theft', 51)",0.260752688172043,0.7358490566037735
13,CALUMET HEIGHTS,119.0,114.0,984.0,209.0,1426.0,0.8366,0.6372,0.6471,0.6421,"('Theft', 320)","('Other Offense', 186)","('Domestic Battery', 164)",0.2300140252454418,0.7147887323943662
14,CHATHAM,646.0,560.0,4630.0,936.0,6772.0,0.8219,0.5917,0.6257,0.6082,"('Theft', 1299)","('Domestic Battery', 859)","('Criminal Damage', 779)",0.23360897814530418,0.7261261261261261
15,CHICAGO LAWN,634.0,213.0,4217.0,448.0,5512.0,0.8463,0.414,0.6778,0.514,"('Theft', 1001)","('Domestic Battery', 746)","('Assault', 653)",0.1962989840348331,0.8006279434850864
16,CLEARING,90.0,31.0,760.0,45.0,926.0,0.8693,0.3333,0.5921,0.4265,"('Theft', 177)","('Criminal Damage', 139)","('Other Offense', 132)",0.14578833693304535,0.9165354330708662
17,DOUGLAS,229.0,110.0,2153.0,226.0,2718.0,0.8753,0.4967,0.6726,0.5714,"('Theft', 686)","('Other Offense', 325)","('Assault', 283)",0.16740250183958794,0.8794642857142857
18,DUNNING,128.0,44.0,1114.0,45.0,1331.0,0.8708,0.2601,0.5056,0.3435,"('Theft', 252)","('Criminal Damage', 188)","('Other Offense', 183)",0.12997746055597295,0.9432739059967585
19,EAST GARFIELD PARK,349.0,348.0,2907.0,1031.0,4635.0,0.8496,0.7471,0.7476,0.7473,"('Theft', 855)","('Narcotics', 660)","('Domestic Battery', 586)",0.2977346278317152,0.8901098901098901
20,EAST SIDE,157.0,45.0,704.0,94.0,1000.0,0.798,0.3745,0.6763,0.4821,"('Other Offense', 168)","('Theft', 156)","('Domestic Battery', 145)",0.251,0.8537549407114624
21,EDGEWATER,183.0,165.0,2000.0,128.0,2476.0,0.8595,0.4116,0.4369,0.4239,"('Theft', 697)","('Deceptive Practice', 291)","('Criminal Damage', 223)",0.12560581583198707,0.9618320610687023
22,EDISON PARK,15.0,12.0,232.0,5.0,264.0,0.8977,0.25,0.2941,0.2703,"('Theft', 63)","('Deceptive Practice', 44)","('Criminal Damage', 33)",0.07575757575757576,0.9745762711864406
23,ENGLEWOOD,520.0,480.0,3968.0,1038.0,6006.0,0.8335,0.6662,0.6838,0.6749,"('Theft', 918)","('Domestic Battery', 902)","('Other Offense', 756)",0.2594072594072594,0.604
24,FOREST GLEN,27.0,26.0,395.0,7.0,455.0,0.8835,0.2059,0.2121,0.209,"('Theft', 133)","('Deceptive Practice', 71)","('Criminal Damage', 44)",0.07472527472527472,0.9713914174252276
25,FULLER PARK,77.0,75.0,567.0,185.0,904.0,0.8319,0.7061,0.7115,0.7088,"('Theft', 176)","('Criminal Damage', 87)","('Other Offense', 81)",0.28982300884955753,0.7692307692307693
26,GAGE PARK,249.0,143.0,1548.0,204.0,2144.0,0.8172,0.4503,0.5879,0.51,"('Theft', 363)","('Criminal Damage', 267)","('Other Offense', 233)",0.21128731343283583,0.8266666666666667
27,GARFIELD RIDGE,211.0,134.0,1371.0,128.0,1844.0,0.8129,0.3776,0.4885,0.4259,"('Theft', 420)","('Criminal Damage', 270)","('Other Offense', 210)",0.18383947939262474,0.9112244897959184
28,GRAND BOULEVARD,390.0,137.0,2546.0,297.0,3370.0,0.8436,0.4323,0.6843,0.5299,"('Theft', 731)","('Domestic Battery', 469)","('Other Offense', 394)",0.20385756676557865,0.8576998050682261
29,GREATER GRAND CROSSING,580.0,514.0,4638.0,983.0,6715.0,0.8371,0.6289,0.6566,0.6425,"('Theft', 1153)","('Domestic Battery', 1028)","('Criminal Damage', 793)",0.23276247207743858,0.7057569296375267
30,HEGEWISCH,52.0,28.0,400.0,13.0,493.0,0.8377,0.2,0.3171,0.2453,"('Theft', 96)","('Domestic Battery', 73)","('Criminal Damage', 73)",0.13184584178498987,0.9421052631578948
31,HERMOSA,111.0,128.0,900.0,159.0,1298.0,0.8159,0.5889,0.554,0.5709,"('Theft', 237)","('Other Offense', 190)","('Domestic Battery', 167)",0.20801232665639446,0.9143835616438356
32,HUMBOLDT PARK,574.0,557.0,4349.0,2459.0,7939.0,0.8575,0.8107,0.8153,0.813,"('Narcotics', 1835)","('Theft', 1176)","('Other Offense', 815)",0.3820380400554226,0.8707782672540382
33,HYDE PARK,97.0,82.0,1456.0,67.0,1702.0,0.8948,0.4085,0.4497,0.4281,"('Theft', 568)","('Deceptive Practice', 179)","('Other Offense', 155)",0.0963572267920094,0.916243654822335
34,IRVING PARK,190.0,111.0,2126.0,82.0,2509.0,0.88,0.3015,0.4249,0.3527,"('Theft', 751)","('Criminal Damage', 329)","('Other Offense', 229)",0.10840972499003587,0.9768864717878993
35,JEFFERSON PARK,105.0,29.0,796.0,32.0,962.0,0.8607,0.2336,0.5246,0.3233,"('Theft', 297)","('Criminal Damage', 113)","('Other Offense', 106)",0.14241164241164242,0.9554390563564875
36,KENWOOD,89.0,71.0,1156.0,60.0,1376.0,0.8837,0.4027,0.458,0.4286,"('Theft', 360)","('Domestic Battery', 159)","('Criminal Damage', 152)",0.10828488372093023,0.9071207430340558
37,LAKE VIEW,515.0,388.0,4669.0,325.0,5897.0,0.8469,0.3869,0.4558,0.4185,"('Theft', 2091)","('Deceptive Practice', 740)","('Simple Battery', 525)",0.1424453111751738,0.9866814650388457
38,LINCOLN PARK,203.0,365.0,3542.0,129.0,4239.0,0.866,0.3886,0.2611,0.3123,"('Theft', 1737)","('Deceptive Practice', 451)","('Criminal Damage', 431)",0.07832035857513564,0.9851932105453233
39,LINCOLN SQUARE,150.0,98.0,1462.0,65.0,1775.0,0.8603,0.3023,0.3988,0.3439,"('Theft', 506)","('Criminal Damage', 192)","('Deceptive Practice', 187)",0.12112676056338029,0.9803921568627451
40,LOGAN SQUARE,451.0,177.0,3879.0,322.0,4829.0,0.87,0.4166,0.6453,0.5063,"('Theft', 1713)","('Criminal Damage', 517)","('Deceptive Practice', 402)",0.1600745495961897,0.9785443836769037
41,LOOP,670.0,1391.0,7244.0,1101.0,10406.0,0.8019,0.6217,0.4418,0.5165,"('Theft', 3996)","('Retail Theft', 1626)","('Deceptive Practice', 1487)",0.17019027484143764,0.9724596391263058
42,LOWER WEST SIDE,219.0,228.0,1600.0,275.0,2322.0,0.8075,0.5567,0.5467,0.5517,"('Theft', 563)","('Criminal Damage', 284)","('Other Offense', 247)",0.2127476313522825,0.9624217118997912
43,MCKINLEY PARK,64.0,84.0,604.0,76.0,828.0,0.8213,0.5429,0.475,0.5067,"('Theft', 217)","('Criminal Damage', 142)","('Other Offense', 81)",0.16908212560386474,0.9238095238095239
44,MONTCLARE,37.0,24.0,469.0,17.0,547.0,0.8885,0.3148,0.4146,0.3579,"('Theft', 128)","('Domestic Battery', 74)","('Other Offense', 69)",0.09872029250457039,0.900355871886121
45,MORGAN PARK,209.0,130.0,1360.0,168.0,1867.0,0.8184,0.4456,0.5638,0.4978,"('Theft', 367)","('Other Offense', 262)","('Criminal Damage', 195)",0.20192822710230315,0.8508914100486223
46,MOUNT GREENWOOD,42.0,27.0,372.0,24.0,465.0,0.8516,0.3636,0.4706,0.4102,"('Theft', 92)","('Other Offense', 67)","('Criminal Damage', 60)",0.14193548387096774,0.9628154050464808
47,NEAR NORTH SIDE,886.0,1302.0,8974.0,1289.0,12451.0,0.8243,0.5926,0.4975,0.5409,"('Theft', 4469)","('Deceptive Practice', 1764)","('Retail Theft', 1468)",0.17468476427596177,0.9768202080237741
48,NEAR SOUTH SIDE,153.0,70.0,1518.0,101.0,1842.0,0.8789,0.3976,0.5906,0.4753,"('Theft', 578)","('Deceptive Practice', 264)","('Simple Battery', 193)",0.13789359391965256,0.9760119940029985
49,NEAR WEST SIDE,776.0,529.0,7107.0,857.0,9269.0,0.8592,0.5248,0.6183,0.5677,"('Theft', 3005)","('Deceptive Practice', 809)","('Criminal Damage', 770)",0.1761786600496278,0.9743474347434743
50,NEW CITY,411.0,453.0,2744.0,621.0,4229.0,0.7957,0.6017,0.5782,0.5897,"('Theft', 751)","('Domestic Battery', 556)","('Other Offense', 501)",0.2440293213525656,0.8212435233160622
51,NORTH CENTER,83.0,101.0,1027.0,39.0,1250.0,0.8528,0.3197,0.2786,0.2977,"('Theft', 411)","('Deceptive Practice', 167)","('Criminal Damage', 157)",0.0976,0.9808641975308642
52,NORTH LAWNDALE,670.0,564.0,4768.0,2860.0,8862.0,0.8608,0.8102,0.8353,0.8226,"('Narcotics', 2055)","('Theft', 1154)","('Domestic Battery', 1068)",0.3983299480929813,0.7734939759036145
53,NORTH PARK,44.0,52.0,675.0,20.0,791.0,0.8786,0.3125,0.2778,0.2941,"('Theft', 236)","('Other Offense', 82)","('Criminal Damage', 73)",0.08091024020227561,0.9670658682634731
54,NORWOOD PARK,104.0,54.0,956.0,36.0,1150.0,0.8626,0.2571,0.4,0.313,"('Theft', 303)","('Deceptive Practice', 146)","('Criminal Damage', 139)",0.12173913043478261,0.9653979238754326
55,OAKLAND,44.0,23.0,544.0,22.0,633.0,0.8942,0.3333,0.4889,0.3964,"('Theft', 147)","('Domestic Battery', 86)","('Criminal Damage', 84)",0.10426540284360189,0.8505747126436781
56,OHARE,179.0,26.0,1249.0,167.0,1621.0,0.8735,0.4827,0.8653,0.6197,"('Theft', 584)","('Deceptive Practice', 262)","('Other Offense', 156)",0.2134484885872918,0.9625668449197861
57,PORTAGE PARK,289.0,127.0,2328.0,129.0,2873.0,0.8552,0.3086,0.5039,0.3828,"('Theft', 623)","('Criminal Damage', 384)","('Domestic Battery', 336)",0.14549251653324052,0.9544592030360531
58,PULLMAN,106.0,95.0,704.0,254.0,1159.0,0.8266,0.7056,0.7278,0.7165,"('Theft', 183)","('Other Offense', 157)","('Criminal Damage', 133)",0.31061259706643657,0.7766990291262136
59,RIVERDALE,124.0,121.0,939.0,210.0,1394.0,0.8242,0.6287,0.6344,0.6315,"('Domestic Battery', 208)","('Criminal Damage', 205)","('Theft', 201)",0.23959827833572453,0.125
60,ROGERS PARK,354.0,195.0,3145.0,312.0,4006.0,0.863,0.4685,0.6154,0.532,"('Theft', 1078)","('Criminal Damage', 480)","('Domestic Battery', 349)",0.16625062406390415,0.9427027027027027
61,ROSELAND,599.0,640.0,4241.0,1036.0,6516.0,0.8099,0.6336,0.6181,0.6258,"('Theft', 1119)","('Other Offense', 955)","('Criminal Damage', 869)",0.2509208103130755,0.665144596651446
62,SOUTH CHICAGO,419.0,383.0,2683.0,759.0,4244.0,0.811,0.6443,0.6646,0.6543,"('Theft', 662)","('Other Offense', 597)","('Domestic Battery', 571)",0.27756833176248824,0.6759776536312849
63,SOUTH DEERING,166.0,196.0,1162.0,324.0,1848.0,0.8041,0.6612,0.6231,0.6416,"('Theft', 364)","('Domestic Battery', 216)","('Assault', 214)",0.26515151515151514,0.6756756756756757
64,SOUTH LAWNDALE,370.0,424.0,2867.0,761.0,4422.0,0.8204,0.6729,0.6422,0.6572,"('Theft', 874)","('Other Offense', 601)","('Criminal Damage', 487)",0.25576662143826323,0.8862559241706162
65,SOUTH SHORE,722.0,621.0,6246.0,1050.0,8639.0,0.8445,0.5926,0.6284,0.61,"('Theft', 1606)","('Domestic Battery', 1382)","('Other Offense', 1004)",0.2051163329089015,0.761986301369863
66,UPTOWN,358.0,106.0,2583.0,259.0,3306.0,0.8596,0.4198,0.7096,0.5275,"('Theft', 833)","('Deceptive Practice', 401)","('Simple Battery', 356)",0.18663036902601332,0.9725752508361204
67,WASHINGTON HEIGHTS,300.0,274.0,2193.0,439.0,3206.0,0.821,0.594,0.6157,0.6047,"('Theft', 642)","('Domestic Battery', 408)","('Criminal Damage', 390)",0.2305053025577043,0.7184615384615385
68,WASHINGTON PARK,178.0,195.0,1677.0,276.0,2326.0,0.8396,0.6079,0.586,0.5967,"('Theft', 415)","('Domestic Battery', 357)","('Criminal Damage', 292)",0.1951848667239897,0.9115646258503401
69,WEST ELSDON,90.0,53.0,689.0,66.0,898.0,0.8408,0.4231,0.5546,0.48,"('Theft', 178)","('Criminal Damage', 131)","('Other Offense', 97)",0.17371937639198218,0.8549019607843137
70,WEST ENGLEWOOD,590.0,531.0,4380.0,1080.0,6581.0,0.8297,0.6467,0.6704,0.6583,"('Domestic Battery', 1021)","('Theft', 997)","('Other Offense', 777)",0.2537608266220939,0.5366795366795367
71,WEST GARFIELD PARK,418.0,382.0,2937.0,2437.0,6174.0,0.8704,0.8536,0.8645,0.859,"('Narcotics', 1666)","('Other Offense', 793)","('Theft', 723)",0.4624230644638808,0.7841409691629956
72,WEST LAWN,136.0,185.0,1254.0,109.0,1684.0,0.8094,0.4449,0.3707,0.4044,"('Theft', 325)","('Criminal Damage', 217)","('Retail Theft', 197)",0.14548693586698339,0.86652977412731
73,WEST PULLMAN,276.0,364.0,2637.0,570.0,3847.0,0.8336,0.6738,0.6103,0.6405,"('Theft', 625)","('Domestic Battery', 590)","('Criminal Damage', 509)",0.2199116194437224,0.6782407407407407
74,WEST RIDGE,271.0,147.0,2865.0,150.0,3433.0,0.8782,0.3563,0.5051,0.4178,"('Theft', 957)","('Criminal Damage', 401)","('Other Offense', 324)",0.12263326536556947,0.9532312925170068
75,WEST TOWN,590.0,336.0,5964.0,273.0,7163.0,0.8707,0.3163,0.4483,0.3709,"('Theft', 2666)","('Criminal Damage', 794)","('Deceptive Practice', 629)",0.12048024570710596,0.9839657936932121
76,WOODLAWN,271.0,328.0,2474.0,469.0,3542.0,0.8309,0.6338,0.5885,0.6103,"('Theft', 595)","('Domestic Battery', 520)","('Other Offense', 437)",0.20892151326933936,0.8342105263157895
